account_id,account_name,plan_tier,seats,churn_probability,risk_level,total_usage,total_errors,ticket_count,avg_satisfaction_score,top_signal,recommended_action
A-9badbd,Company_63,Enterprise,5,0.526,Medium Risk,729,45,5.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-118d55,Company_65,Basic,8,0.525,Medium Risk,599,33,5.0,4.333333333333333,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-a09355,Company_459,Basic,14,0.525,Medium Risk,788,47,5.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-812c5b,Company_395,Basic,55,0.524,Medium Risk,866,46,4.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-c62e55,Company_315,Basic,1,0.524,Medium Risk,337,13,4.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-970c97,Company_477,Enterprise,14,0.524,Medium Risk,444,24,1.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-a0ca4e,Company_6,Pro,11,0.523,Medium Risk,373,14,6.0,3.8,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-503d5a,Company_99,Enterprise,4,0.523,Medium Risk,605,32,9.0,4.0,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-9289f6,Company_104,Enterprise,1,0.523,Medium Risk,642,38,6.0,4.333333333333333,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-4e44e8,Company_22,Enterprise,3,0.523,Medium Risk,687,37,3.0,3.3333333333333335,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-463db0,Company_16,Basic,15,0.521,Medium Risk,367,13,6.0,4.25,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-4e960a,Company_277,Enterprise,12,0.521,Medium Risk,512,21,6.0,4.0,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-3b5cd1,Company_49,Basic,13,0.521,Medium Risk,523,24,5.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-58b9ff,Company_425,Enterprise,2,0.521,Medium Risk,667,32,2.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-4c56c9,Company_449,Enterprise,9,0.52,Medium Risk,623,38,5.0,3.75,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-a1b80b,Company_184,Basic,16,0.519,Medium Risk,749,48,4.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-ccc747,Company_339,Pro,16,0.519,Medium Risk,284,13,4.0,5.0,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-bb2f49,Company_356,Pro,8,0.519,Medium Risk,618,42,3.0,4.0,High Error Rate,Assign technical support — investigate product errors immediately
A-02fac6,Company_52,Pro,22,0.518,Medium Risk,514,34,6.0,4.0,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-d535f6,Company_421,Basic,12,0.518,Medium Risk,477,29,0.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-afa505,Company_157,Basic,70,0.517,Medium Risk,507,28,4.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-1f0ac7,Company_3,Basic,24,0.517,Medium Risk,382,21,2.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-104f1a,Company_89,Pro,24,0.517,Medium Risk,438,22,5.0,3.75,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-e888d1,Company_102,Pro,14,0.516,Medium Risk,552,36,5.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-52dd88,Company_127,Pro,23,0.516,Medium Risk,516,33,1.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-3a5ad8,Company_94,Enterprise,9,0.516,Medium Risk,506,23,4.0,4.5,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-756192,Company_390,Basic,19,0.516,Medium Risk,617,43,3.0,4.0,High Error Rate,Assign technical support — investigate product errors immediately
A-91e948,Company_88,Basic,41,0.514,Medium Risk,404,16,0.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-716841,Company_437,Pro,45,0.513,Medium Risk,344,13,5.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-32fb14,Company_25,Enterprise,26,0.513,Medium Risk,488,19,5.0,4.5,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-ab438f,Company_233,Enterprise,13,0.512,Medium Risk,369,12,2.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-d3c88e,Company_490,Pro,16,0.512,Medium Risk,644,48,3.0,4.0,High Error Rate,Assign technical support — investigate product errors immediately
A-b30291,Company_344,Basic,5,0.511,Medium Risk,519,31,1.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-d62e02,Company_420,Pro,6,0.51,Medium Risk,344,23,1.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-4c6f11,Company_146,Pro,24,0.51,Medium Risk,268,4,3.0,4.333333333333333,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-40906c,Company_235,Basic,92,0.51,Medium Risk,685,32,5.0,3.75,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-f9cc74,Company_360,Enterprise,30,0.51,Medium Risk,484,22,6.0,4.0,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-32728c,Company_54,Pro,20,0.51,Medium Risk,418,22,2.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-9123ac,Company_219,Pro,9,0.51,Medium Risk,386,24,6.0,4.2,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-cc1d8d,Company_440,Pro,5,0.51,Medium Risk,618,48,5.0,4.5,High Error Rate,Assign technical support — investigate product errors immediately
A-96e141,Company_134,Basic,14,0.51,Medium Risk,346,19,5.0,4.333333333333333,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-65c341,Company_308,Pro,11,0.509,Medium Risk,410,18,5.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-9c18c4,Company_481,Pro,11,0.509,Medium Risk,556,37,4.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-f5641b,Company_382,Pro,31,0.509,Medium Risk,438,18,4.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-659280,Company_417,Enterprise,13,0.509,Medium Risk,613,34,4.0,4.333333333333333,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-e4144b,Company_316,Pro,41,0.509,Medium Risk,439,21,3.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-71615e,Company_167,Basic,15,0.508,Medium Risk,620,41,1.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-e19ff6,Company_411,Enterprise,1,0.507,Medium Risk,456,24,3.0,4.666666666666667,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-bc4d48,Company_343,Pro,35,0.507,Medium Risk,321,9,6.0,4.2,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-cbd1a3,Company_325,Basic,6,0.507,Medium Risk,465,32,4.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-533452,Company_279,Pro,9,0.507,Medium Risk,595,44,4.0,4.0,High Error Rate,Assign technical support — investigate product errors immediately
A-1d5444,Company_427,Basic,24,0.506,Medium Risk,592,35,2.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-d792a6,Company_486,Enterprise,4,0.505,Medium Risk,690,40,5.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-309e54,Company_371,Pro,15,0.505,Medium Risk,509,24,5.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-7f6b86,Company_299,Basic,45,0.505,Medium Risk,420,14,7.0,3.6666666666666665,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-43a9e3,Company_1,Basic,18,0.505,Medium Risk,355,14,3.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-f45426,Company_172,Basic,9,0.505,Medium Risk,624,49,3.0,4.0,High Error Rate,Assign technical support — investigate product errors immediately
A-432483,Company_78,Pro,4,0.504,Medium Risk,451,28,1.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-cdf020,Company_345,Pro,23,0.504,Medium Risk,379,18,4.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-1ac5e0,Company_126,Basic,33,0.504,Medium Risk,558,31,7.0,3.8,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-6965e1,Company_379,Basic,13,0.504,Medium Risk,627,29,3.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-eafc6e,Company_149,Pro,27,0.504,Medium Risk,300,15,1.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-186a44,Company_101,Enterprise,20,0.502,Medium Risk,614,25,7.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-b07b56,Company_292,Pro,25,0.502,Medium Risk,633,39,4.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-d5a319,Company_158,Enterprise,15,0.502,Medium Risk,604,43,1.0,4.0,High Error Rate,Assign technical support — investigate product errors immediately
A-139c3b,Company_185,Enterprise,10,0.502,Medium Risk,478,16,9.0,4.5,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-794a0b,Company_168,Basic,23,0.502,Medium Risk,347,31,0.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-2f6a32,Company_160,Basic,19,0.502,Medium Risk,654,46,2.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-c4ea60,Company_18,Enterprise,18,0.501,Medium Risk,427,18,5.0,3.6,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-e40f45,Company_317,Pro,21,0.501,Medium Risk,401,26,7.0,4.333333333333333,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-42b791,Company_464,Pro,3,0.5,Medium Risk,312,6,3.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-313be3,Company_136,Enterprise,47,0.5,Medium Risk,560,40,4.0,5.0,High Error Rate,Assign technical support — investigate product errors immediately
A-68f37c,Company_202,Basic,4,0.498,Medium Risk,624,40,5.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-9077b0,Company_41,Basic,2,0.498,Medium Risk,493,31,3.0,4.333333333333333,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-d26ab4,Company_497,Basic,9,0.498,Medium Risk,458,24,2.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-e4bf56,Company_272,Pro,17,0.498,Medium Risk,339,10,8.0,3.6666666666666665,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-59f724,Company_432,Enterprise,3,0.498,Medium Risk,696,47,4.0,4.25,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-902ef7,Company_270,Enterprise,83,0.498,Medium Risk,414,24,2.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-e1462e,Company_217,Basic,15,0.497,Medium Risk,347,22,2.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-ac85cd,Company_485,Enterprise,53,0.497,Medium Risk,634,29,3.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-5b1bcd,Company_166,Pro,73,0.497,Medium Risk,869,54,4.0,4.5,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-05f0e5,Company_40,Basic,32,0.497,Medium Risk,706,46,4.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-ad296b,Company_112,Pro,38,0.497,Medium Risk,294,12,3.0,3.6666666666666665,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-2d1036,Company_399,Pro,69,0.497,Medium Risk,692,40,5.0,4.6,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-96bbc6,Company_342,Enterprise,39,0.496,Medium Risk,482,25,3.0,3.3333333333333335,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-ffc04f,Company_307,Pro,13,0.496,Medium Risk,857,64,7.0,4.5,High Error Rate,Assign technical support — investigate product errors immediately
A-2446e3,Company_241,Pro,27,0.496,Medium Risk,496,32,3.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-e08cd3,Company_475,Pro,67,0.496,Medium Risk,432,21,8.0,4.0,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-7e0a10,Company_64,Enterprise,46,0.495,Medium Risk,511,35,5.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-fe79a5,Company_81,Basic,9,0.495,Medium Risk,335,17,4.0,5.0,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-0a62f5,Company_381,Pro,16,0.495,Medium Risk,244,7,2.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-df10db,Company_143,Enterprise,2,0.495,Medium Risk,697,40,2.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-bc87bc,Company_456,Pro,3,0.495,Medium Risk,394,14,7.0,3.75,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-ae052e,Company_132,Basic,39,0.494,Medium Risk,300,12,4.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-84ebe4,Company_68,Pro,18,0.494,Medium Risk,396,26,4.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-1b9609,Company_5,Enterprise,4,0.494,Medium Risk,457,21,4.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-d82ef9,Company_355,Basic,26,0.494,Medium Risk,679,46,5.0,4.25,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-2789e3,Company_268,Enterprise,11,0.493,Medium Risk,680,45,4.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-3932db,Company_144,Pro,19,0.493,Medium Risk,434,28,6.0,4.333333333333333,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-a45270,Company_37,Enterprise,3,0.492,Medium Risk,733,53,4.0,4.0,High Error Rate,Assign technical support — investigate product errors immediately
A-98a59a,Company_80,Enterprise,56,0.492,Medium Risk,455,21,3.0,4.5,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-4e0e85,Company_409,Enterprise,6,0.492,Medium Risk,288,9,2.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-b20d99,Company_29,Basic,20,0.491,Medium Risk,329,12,2.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-5f2961,Company_284,Basic,4,0.491,Medium Risk,348,19,1.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-3be56b,Company_200,Pro,3,0.491,Medium Risk,528,33,4.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-0f7d77,Company_457,Pro,3,0.489,Medium Risk,298,19,5.0,5.0,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-158f4e,Company_180,Enterprise,61,0.488,Medium Risk,453,29,5.0,4.333333333333333,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-625d0b,Company_290,Basic,9,0.487,Medium Risk,529,38,5.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-30b4ca,Company_23,Basic,86,0.487,Medium Risk,402,22,3.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-94d3da,Company_61,Basic,41,0.487,Medium Risk,464,25,6.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-ce550d,Company_4,Enterprise,35,0.487,Medium Risk,579,31,7.0,3.8,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-1f559b,Company_357,Enterprise,5,0.486,Medium Risk,400,27,5.0,4.2,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-a1bbb6,Company_74,Basic,1,0.486,Medium Risk,366,20,3.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-425e76,Company_110,Enterprise,8,0.484,Medium Risk,438,24,5.0,3.3333333333333335,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-0354fe,Company_380,Basic,34,0.483,Medium Risk,463,30,4.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-3b37d9,Company_384,Enterprise,23,0.483,Medium Risk,451,21,5.0,4.5,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-443b7c,Company_280,Enterprise,1,0.483,Medium Risk,618,29,8.0,4.4,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-3793ee,Company_332,Enterprise,49,0.483,Medium Risk,352,11,4.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-67be94,Company_276,Enterprise,26,0.483,Medium Risk,416,17,5.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-40a557,Company_86,Pro,16,0.481,Medium Risk,402,17,7.0,3.6666666666666665,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-c43359,Company_83,Pro,38,0.481,Medium Risk,461,32,3.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-50f3f7,Company_140,Basic,31,0.48,Medium Risk,685,45,6.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-9174e0,Company_73,Basic,37,0.48,Medium Risk,689,61,2.0,5.0,High Error Rate,Assign technical support — investigate product errors immediately
A-4814a3,Company_337,Basic,87,0.48,Medium Risk,587,45,4.0,4.0,High Error Rate,Assign technical support — investigate product errors immediately
A-dcc3f1,Company_314,Pro,21,0.48,Medium Risk,500,32,9.0,3.8,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-c222ab,Company_206,Pro,32,0.48,Medium Risk,435,33,4.0,5.0,High Error Rate,Assign technical support — investigate product errors immediately
A-5ed98d,Company_479,Basic,24,0.478,Medium Risk,312,18,5.0,5.0,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-3f9cc0,Company_359,Basic,22,0.478,Medium Risk,407,24,5.0,4.5,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-f97b9a,Company_159,Pro,16,0.477,Medium Risk,561,33,7.0,3.6666666666666665,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-180abf,Company_122,Pro,64,0.477,Medium Risk,499,28,3.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-118f1c,Company_492,Pro,32,0.477,Medium Risk,369,14,1.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-019782,Company_142,Enterprise,11,0.477,Medium Risk,562,30,2.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-0b0d6d,Company_267,Pro,3,0.477,Medium Risk,582,48,5.0,4.0,High Error Rate,Assign technical support — investigate product errors immediately
A-9208f0,Company_79,Pro,1,0.477,Medium Risk,538,31,8.0,3.3333333333333335,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-202b67,Company_305,Pro,11,0.476,Medium Risk,447,40,4.0,4.666666666666667,High Error Rate,Assign technical support — investigate product errors immediately
A-f3ff05,Company_44,Enterprise,2,0.476,Medium Risk,672,36,3.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-fa3095,Company_174,Basic,70,0.475,Medium Risk,600,42,5.0,5.0,High Error Rate,Assign technical support — investigate product errors immediately
A-49b828,Company_391,Pro,6,0.475,Medium Risk,687,45,3.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-94f8c9,Company_51,Basic,13,0.475,Medium Risk,746,63,3.0,5.0,High Error Rate,Assign technical support — investigate product errors immediately
A-faa28c,Company_91,Enterprise,48,0.474,Medium Risk,585,24,4.0,4.666666666666667,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-9f2731,Company_24,Enterprise,1,0.473,Medium Risk,324,20,0.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-c16b88,Company_431,Enterprise,23,0.472,Medium Risk,457,24,3.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-6843f2,Company_335,Enterprise,21,0.472,Medium Risk,481,17,2.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-18793f,Company_488,Basic,148,0.472,Medium Risk,486,20,5.0,3.8,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-4bfa33,Company_251,Basic,8,0.472,Medium Risk,329,17,4.0,3.6666666666666665,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-ee42db,Company_77,Enterprise,13,0.471,Medium Risk,511,33,4.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-fd9422,Company_263,Pro,58,0.471,Medium Risk,456,21,6.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-0532a9,Company_170,Pro,19,0.47,Medium Risk,519,30,8.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-8e47ca,Company_191,Pro,19,0.469,Medium Risk,441,35,5.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-f6b2fb,Company_418,Basic,23,0.468,Medium Risk,524,37,5.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-b44e3e,Company_383,Basic,40,0.468,Medium Risk,387,13,3.0,4.333333333333333,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-5c046d,Company_130,Basic,93,0.468,Medium Risk,475,23,1.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-54ecc2,Company_289,Enterprise,4,0.468,Medium Risk,607,39,5.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-993085,Company_258,Basic,31,0.467,Medium Risk,665,50,4.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-3ce5b8,Company_256,Basic,8,0.466,Medium Risk,509,29,10.0,3.7142857142857144,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-ac14bb,Company_15,Enterprise,21,0.466,Medium Risk,531,42,2.0,4.0,High Error Rate,Assign technical support — investigate product errors immediately
A-5790f4,Company_446,Pro,1,0.465,Medium Risk,321,26,4.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-39b19f,Company_176,Enterprise,1,0.464,Medium Risk,530,37,6.0,4.25,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-69fad4,Company_103,Basic,6,0.464,Medium Risk,412,24,4.0,3.6666666666666665,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-2edab2,Company_301,Enterprise,17,0.462,Medium Risk,487,26,4.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-92a3af,Company_259,Enterprise,25,0.461,Medium Risk,714,55,4.0,4.0,High Error Rate,Assign technical support — investigate product errors immediately
A-a8b49c,Company_72,Basic,7,0.461,Medium Risk,545,43,1.0,4.0,High Error Rate,Assign technical support — investigate product errors immediately
A-69b156,Company_396,Pro,7,0.459,Medium Risk,360,20,7.0,4.0,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-34ea2f,Company_436,Enterprise,8,0.456,Medium Risk,550,30,8.0,3.8,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-d922bf,Company_221,Basic,5,0.456,Medium Risk,419,19,7.0,3.3333333333333335,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-3cc791,Company_423,Enterprise,6,0.456,Medium Risk,447,30,6.0,4.25,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-86fc1d,Company_328,Basic,26,0.456,Medium Risk,363,26,5.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-bcbe98,Company_452,Enterprise,46,0.455,Medium Risk,635,43,7.0,4.0,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-90a8c8,Company_249,Pro,15,0.455,Medium Risk,404,20,4.0,3.25,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-de24d5,Company_231,Enterprise,5,0.454,Medium Risk,537,28,7.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-37f969,Company_150,Enterprise,30,0.454,Medium Risk,312,14,5.0,3.6666666666666665,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-0f6450,Company_400,Pro,28,0.454,Medium Risk,539,39,8.0,3.8333333333333335,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-bd4513,Company_205,Enterprise,50,0.452,Medium Risk,507,34,3.0,4.666666666666667,High Error Rate,Assign technical support — investigate product errors immediately
A-dec005,Company_445,Pro,21,0.452,Medium Risk,475,44,2.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-956988,Company_14,Enterprise,1,0.452,Medium Risk,658,49,2.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-8ae3fc,Company_495,Pro,9,0.452,Medium Risk,402,30,4.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-c1e51e,Company_173,Basic,3,0.452,Medium Risk,518,36,5.0,3.2,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-484819,Company_109,Pro,18,0.452,Medium Risk,336,20,5.0,4.5,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-7dacce,Company_8,Enterprise,12,0.451,Medium Risk,472,29,4.0,3.6666666666666665,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-560d27,Company_266,Pro,23,0.45,Medium Risk,587,38,4.0,3.6666666666666665,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-65a46c,Company_95,Pro,1,0.45,Medium Risk,370,21,8.0,4.0,High Ticket Volume,Proactive outreach — review history of unresolved issues
